Night,Median,Peak,Peak_Time
2019-03-24,170.44444444444446,179.77777777777777,2019-03-25 03:00:00
2019-03-25,133.66666666666666,139.3,2019-03-26 07:00:00
2019-03-26,152.47222222222223,159.7,2019-03-27 08:00:00
2019-03-27,158.1,165.77777777777777,2019-03-28 03:00:00
2019-03-28,129.73888888888888,149.0,2019-03-29 00:00:00
2019-03-29,909.4444444444445,1048.4444444444443,2019-03-30 05:00:00
2019-03-30,741.7777777777778,925.1,2019-03-31 01:00:00
2019-03-31,94.77777777777777,106.44444444444444,2019-04-01 04:00:00
2019-04-01,131.44444444444446,148.44444444444446,2019-04-02 10:00:00
2019-04-02,124.0,311.77777777777777,2019-04-03 07:00:00
2019-04-03,1402.7777777777778,1678.4,2019-04-04 03:00:00
2019-04-04,187.0,288.7,2019-04-05 08:00:00
